N,P,K,pH,temperature,humidity,rainfall,label,yield_kg_per_ha
112.42,43.83,70.0,5.68,35.28,54.43,71.93,pomegranate,15834.7
19.74,65.09,24.98,7.46,16.02,35.13,56.21,lentil,1732.48
111.29,40.39,22.86,6.57,39.47,46.77,81.47,cotton,2714.37
38.25,38.21,37.03,7.09,26.92,45.91,97.03,mango,10773.58
56.55,67.06,52.88,6.73,31.67,94.57,236.23,papaya,43787.35
84.74,55.9,56.75,5.93,24.56,92.49,153.6,rice,4878.36
134.85,38.25,27.21,7.51,35.27,72.23,144.08,cotton,2374.03
81.77,48.03,46.48,6.92,28.65,91.12,175.55,rice,4874.93
109.87,50.46,20.31,6.56,20.21,55.25,157.45,maize,6218.76
8.07,128.23,204.25,6.01,18.52,73.35,139.51,apple,18425.05
33.19,26.5,33.11,5.97,27.53,51.8,158.19,mango,11735.15
47.42,64.76,47.22,6.89,27.84,75.47,191.1,papaya,45542.84
104.58,53.43,15.44,6.77,25.51,42.94,196.34,cotton,2420.85
12.35,127.29,204.49,6.59,5.57,57.82,161.16,apple,18575.2
16.53,69.17,19.83,6.72,19.88,51.76,28.61,lentil,1502.28
28.97,59.19,30.16,6.97,21.6,63.84,139.32,kidneybeans,1694.95
47.31,70.25,33.5,6.64,23.32,52.37,169.22,blackgram,1091.52
110.98,27.67,38.49,7.35,16.3,85.76,237.26,coffee,1271.46
97.06,13.78,64.41,5.83,35.95,56.28,68.07,watermelon,30888.47
92.24,51.58,43.54,6.78,31.38,89.39,214.81,rice,5120.77
68.48,59.8,41.34,6.59,33.69,79.9,156.86,jute,3038.38
10.31,134.37,206.19,6.8,20.74,64.79,177.35,apple,19413.38
113.79,66.56,64.34,7.4,32.02,51.31,64.31,pomegranate,17718.22
137.88,42.35,28.08,7.2,24.05,50.35,166.52,cotton,2485.38
95.17,17.46,51.74,6.49,35.16,66.97,35.18,watermelon,32053.21
92.39,17.15,60.19,7.23,35.78,79.13,78.71,watermelon,31847.95
64.25,46.3,40.43,6.95,31.09,72.16,186.22,jute,2928.88
16.75,59.98,27.04,7.57,15.67,37.13,61.89,lentil,1723.28
15.59,9.57,9.96,7.36,19.78,75.01,194.07,orange,21755.51
34.51,22.54,38.21,6.53,25.04,61.67,132.42,mango,12444.12
8.96,5.15,14.05,6.22,17.96,65.81,133.14,orange,23257.98
99.32,49.13,47.73,6.04,25.87,76.8,161.62,rice,5430.46
100.11,29.31,54.1,6.26,39.11,73.4,68.35,watermelon,33501.5
96.65,30.99,27.54,6.97,24.27,84.06,167.99,coffee,1399.07
112.84,68.04,207.24,6.36,27.86,94.5,285.7,banana,32773.84
25.38,65.22,28.3,6.92,17.84,49.33,42.62,lentil,1631.91
109.14,51.79,24.89,6.95,32.53,60.0,153.6,maize,6511.18
22.41,73.35,24.03,6.79,17.83,64.15,108.86,kidneybeans,1945.83
20.9,36.6,37.32,6.81,15.8,61.79,97.45,grapes,16923.48
93.09,29.12,30.81,6.51,18.54,72.46,236.69,coffee,1340.63
107.01,54.27,55.47,6.8,31.09,91.02,157.34,rice,5023.5
106.14,15.81,62.79,7.33,35.23,73.16,75.75,muskmelon,18788.32
5.92,133.14,209.06,6.63,1.48,59.84,149.14,apple,18311.69
119.45,19.99,46.39,6.59,33.06,66.13,56.39,muskmelon,15650.55
94.39,29.35,36.05,7.33,23.6,79.81,271.64,coffee,1440.36
103.16,52.94,33.62,6.52,33.99,60.7,62.23,maize,6899.1
99.17,41.55,25.16,7.11,30.78,71.9,144.29,maize,6308.6
29.14,39.76,47.82,5.67,29.99,72.25,98.63,mango,11581.58
100.92,45.07,16.59,7.35,23.07,41.16,186.94,cotton,2530.35
14.5,141.11,202.29,6.98,2.93,54.75,125.83,apple,18102.98
30.4,64.14,26.38,7.08,22.97,58.12,172.11,blackgram,1106.55
93.11,15.23,46.72,7.38,32.84,74.54,84.46,muskmelon,17111.24
93.44,26.72,36.94,6.31,21.91,89.5,156.53,coffee,1358.88
111.86,21.64,42.0,6.32,19.56,86.5,275.65,coffee,1153.05
110.53,12.55,58.05,6.22,36.7,67.78,78.77,muskmelon,17627.67
92.59,61.95,38.24,5.72,25.79,59.53,128.51,maize,6018.83
24.65,30.73,44.71,6.51,29.75,60.87,141.25,mango,12062.74
33.98,36.91,49.86,6.35,29.89,67.98,111.76,mango,11240.32
22.1,37.0,31.32,5.83,10.96,60.34,86.05,grapes,16772.47
5.08,137.23,197.81,5.8,1.81,79.42,160.61,apple,17939.09
22.14,60.63,24.8,6.75,31.41,58.81,89.9,mungbean,1126.96
27.25,46.22,38.14,6.45,22.14,50.39,107.47,grapes,17670.53
75.22,52.57,53.72,6.78,34.49,84.96,190.43,jute,3423.84
102.03,55.46,21.18,5.9,27.37,51.47,163.8,maize,6359.58
114.56,18.36,54.4,7.11,32.46,68.59,65.66,muskmelon,18550.53
0.13,7.82,17.43,6.78,16.7,82.05,118.97,orange,18915.0
117.95,46.96,41.81,5.84,26.57,93.91,206.75,rice,4807.09
35.33,68.9,87.11,6.5,26.04,43.85,90.64,chickpea,1343.28
106.39,32.15,39.0,6.36,17.19,65.42,222.05,coffee,1384.68
87.93,60.66,39.94,5.7,19.71,69.08,69.01,maize,6056.14
113.55,59.6,52.97,7.18,36.46,49.64,134.76,pomegranate,16940.44
96.35,22.49,57.28,6.1,38.35,61.12,22.01,muskmelon,17273.69
24.56,44.3,43.45,6.01,30.0,73.54,149.73,grapes,18936.47
101.16,24.08,52.88,5.53,24.32,72.19,76.26,watermelon,33115.64
52.19,56.86,58.13,6.59,34.98,77.77,202.47,papaya,45893.28
117.3,28.0,55.78,6.42,28.33,66.5,58.76,watermelon,30813.62
13.78,142.49,206.04,6.59,20.0,64.09,134.76,apple,17417.58
42.53,52.1,63.4,6.54,27.49,92.03,299.83,papaya,42573.1
88.73,52.5,54.2,6.26,35.12,93.98,226.57,jute,3113.44
110.88,53.23,47.47,5.64,31.2,80.25,290.52,rice,4986.31
114.9,43.3,54.35,6.87,32.26,43.5,108.12,pomegranate,16922.08
86.74,46.99,49.79,7.58,35.31,87.33,203.11,jute,3249.88
14.02,16.45,14.02,7.28,13.89,71.26,151.01,orange,22814.96
115.67,54.0,48.6,6.27,20.12,46.59,85.52,wheat,4207.38
50.54,53.11,58.92,6.48,30.89,81.09,212.44,papaya,47731.18
101.1,54.95,52.54,7.43,26.01,49.65,66.46,pomegranate,19109.79
21.06,69.04,32.75,7.42,37.66,66.04,91.87,pigeonpeas,1381.71
16.27,60.24,20.62,6.92,30.79,41.29,101.41,mungbean,1054.52
16.76,56.48,24.91,7.55,19.38,43.99,39.13,lentil,1626.32
29.66,28.66,40.81,6.28,32.07,56.77,142.49,mango,13702.35
98.61,63.9,25.58,7.42,33.09,57.08,174.37,maize,6221.38
17.3,3.0,31.54,5.56,36.0,78.31,222.1,coconut,12264.68
123.91,44.08,17.58,7.31,23.97,61.16,85.67,cotton,2665.36
118.09,66.28,54.85,6.2,34.18,50.31,108.12,pomegranate,17016.61
17.8,6.71,33.38,6.97,29.15,87.3,115.54,coconut,11609.51
47.38,55.29,22.5,6.51,28.95,51.44,120.57,blackgram,1056.58
118.4,66.03,154.28,6.94,27.01,86.96,112.72,banana,35006.27
113.2,11.96,48.5,6.55,31.51,78.4,89.21,muskmelon,17355.27
96.45,39.07,28.75,6.04,23.21,80.63,197.9,coffee,1204.95
23.79,71.22,20.99,5.71,28.33,53.72,66.9,pigeonpeas,1417.29
22.45,66.33,19.84,5.97,17.06,57.72,197.34,kidneybeans,1956.73
18.63,52.49,22.39,7.66,23.88,54.23,38.17,lentil,1629.27
101.21,18.53,57.89,6.33,30.73,77.32,86.14,muskmelon,19030.47
43.2,59.93,71.71,6.46,29.43,44.06,56.73,chickpea,1353.8
25.88,45.01,27.48,4.77,28.19,29.89,43.74,mothbeans,894.88
106.17,44.45,18.48,7.37,34.87,40.29,193.59,cotton,2736.49
103.36,53.0,41.69,6.12,20.62,84.88,199.48,rice,5146.96
105.09,17.51,45.81,7.12,36.93,67.25,88.72,watermelon,31314.5
104.21,63.29,35.67,6.41,11.41,44.77,113.87,wheat,3825.17
116.7,70.19,96.77,6.46,25.9,83.68,273.19,banana,35347.91
9.67,122.92,197.8,6.64,21.6,64.03,149.25,apple,18357.76
15.66,43.73,31.8,6.19,21.53,73.9,137.03,grapes,16287.21
96.1,64.52,186.97,6.03,34.2,79.15,169.97,banana,35372.53
119.94,44.8,45.71,6.89,36.39,48.18,133.53,pomegranate,15313.03
29.74,42.21,43.15,6.93,24.81,71.28,91.06,grapes,17076.85
20.84,60.04,20.67,6.75,26.26,42.52,54.19,mothbeans,906.61
112.64,61.53,36.38,6.41,20.02,64.23,81.9,maize,5953.1
84.79,47.3,59.17,6.99,31.58,81.22,253.15,rice,4707.91
26.06,50.8,33.2,7.32,17.95,41.07,38.66,lentil,1547.99
32.72,60.82,84.23,6.31,21.33,37.82,83.58,chickpea,1357.23
139.0,55.1,49.49,7.19,16.62,45.28,68.9,wheat,3895.68
15.25,148.55,199.49,6.15,6.0,58.21,114.53,apple,16546.79
25.13,56.72,20.75,7.39,23.04,51.76,57.59,lentil,1693.25
7.73,1.34,38.36,6.94,28.52,60.59,280.81,coconut,12294.12
116.61,27.1,63.66,5.63,38.54,61.22,55.14,watermelon,30321.58
47.55,74.32,70.81,7.89,15.7,34.72,70.27,chickpea,1264.78
111.57,47.03,33.9,7.32,21.08,59.82,150.6,maize,6416.57
23.38,49.01,35.53,6.59,23.59,71.37,154.51,grapes,17512.43
15.0,50.15,26.29,6.37,31.08,43.38,52.78,mothbeans,892.47
105.54,50.44,54.25,6.17,25.19,84.35,175.46,rice,5175.74
12.11,141.82,209.19,5.62,0.88,54.17,133.73,apple,17467.41
20.62,28.33,45.99,5.55,32.11,49.75,182.17,mango,11339.27
19.14,65.99,21.57,6.02,20.74,58.4,112.86,kidneybeans,1830.29
41.7,65.55,28.58,7.32,34.3,50.82,96.65,blackgram,1144.91
78.15,51.16,46.99,7.57,30.82,72.83,224.38,jute,3253.46
88.35,41.15,29.25,7.13,30.4,60.22,143.26,maize,6400.21
15.3,54.81,19.98,6.24,19.84,47.11,22.69,lentil,1484.18
25.45,36.33,47.1,6.82,15.0,73.26,143.96,grapes,18108.43
45.38,62.34,85.81,6.53,15.29,24.02,31.52,chickpea,1265.04
39.13,38.58,46.65,6.09,26.27,66.81,179.92,mango,10016.84
44.55,52.79,62.41,6.53,31.01,76.54,290.26,papaya,44945.53
21.7,40.03,42.64,6.64,23.78,78.28,75.03,grapes,17716.77
22.48,63.28,31.43,7.11,37.63,46.24,122.76,pigeonpeas,1414.94
105.39,51.07,51.18,5.96,20.46,83.73,182.19,rice,5311.27
116.1,53.08,45.57,6.13,23.18,63.11,132.16,wheat,4129.44
128.9,36.53,27.77,6.19,36.14,43.91,112.69,cotton,2541.4
19.61,137.72,203.57,6.76,24.83,73.38,159.39,apple,17888.75
114.86,63.38,63.83,6.09,31.1,37.88,120.6,pomegranate,16268.45
54.76,58.04,55.73,6.13,32.53,80.48,275.2,papaya,47635.16
96.49,55.19,44.61,6.86,27.5,90.12,277.46,rice,4933.97
22.7,61.45,32.62,5.47,29.75,38.95,56.41,mothbeans,933.34
127.82,52.78,51.16,7.02,12.92,56.2,98.35,wheat,3887.54
20.42,37.39,37.15,6.11,16.88,71.75,127.67,grapes,17404.5
129.87,60.33,47.08,6.59,10.62,42.5,115.5,wheat,4319.05
116.84,43.31,45.69,5.73,21.73,75.42,158.31,rice,4880.51
17.48,65.34,34.31,6.62,29.25,49.22,85.21,mungbean,1101.65
22.84,62.22,25.62,6.7,20.0,50.51,128.3,kidneybeans,2074.79
5.19,12.59,11.65,6.89,26.8,67.59,138.16,orange,24311.61
89.61,29.73,31.14,7.16,23.29,71.69,152.56,coffee,1335.31
91.78,52.24,32.27,6.35,31.45,64.62,61.32,maize,6493.55
9.54,8.01,35.74,5.57,27.77,62.61,191.8,coconut,12993.57
26.48,59.04,23.32,3.58,29.58,30.72,44.49,mothbeans,914.18
14.32,146.59,195.67,6.8,22.95,66.08,128.45,apple,16739.17
16.09,57.47,27.88,6.43,21.5,39.59,70.44,lentil,1643.9
26.98,29.2,49.84,6.13,30.15,64.04,81.58,mango,12468.74
110.97,31.01,39.67,7.18,21.24,89.64,180.31,coffee,1385.9
51.48,50.36,52.54,6.03,34.67,75.38,253.46,papaya,45610.15
49.38,66.82,57.34,6.2,30.8,77.85,255.55,papaya,47879.98
118.48,62.61,209.49,5.52,28.64,85.3,105.96,banana,30866.74
73.84,60.94,54.9,6.66,26.13,89.86,345.5,jute,3342.67
19.62,48.64,19.6,5.79,26.56,36.46,78.97,mothbeans,903.08
56.71,68.83,63.89,6.58,34.81,73.74,164.2,papaya,42032.05
87.89,51.11,44.68,7.44,35.99,89.2,298.02,jute,3197.89
17.28,17.29,8.27,7.13,23.47,87.98,195.59,orange,20877.49
25.08,65.6,20.42,7.8,18.02,50.9,23.1,lentil,1518.57
15.57,64.27,21.4,7.99,12.12,39.6,22.52,lentil,1512.78
2.33,123.38,198.15,6.39,23.33,57.17,171.98,apple,16534.96
113.1,55.14,66.94,6.66,34.85,54.69,84.56,pomegranate,17831.07
1.25,148.91,200.03,5.87,5.28,52.08,145.7,apple,15294.59
31.0,37.17,48.43,6.76,20.68,79.35,183.55,grapes,16352.23
25.08,72.94,22.54,6.51,25.35,48.25,134.96,pigeonpeas,1344.1
105.41,52.34,37.07,6.96,15.27,45.42,119.19,wheat,3711.2
17.46,66.33,29.42,6.03,24.98,60.21,162.7,kidneybeans,1794.01
13.57,15.96,16.63,6.57,25.47,72.3,180.33,orange,22611.32
96.4,47.91,38.32,6.19,22.02,72.73,164.43,maize,6467.78
1.87,5.43,31.22,6.75,32.68,62.09,183.97,coconut,11402.0
29.52,21.51,43.77,6.47,35.18,51.26,70.3,mango,12365.61
71.75,62.3,59.94,7.49,34.16,92.02,169.07,jute,2987.81
97.28,47.1,22.38,6.52,20.82,64.76,83.76,maize,6683.33
11.74,135.2,209.56,5.62,10.53,58.34,112.21,apple,19022.31
40.33,55.77,28.4,7.29,22.04,53.2,137.34,blackgram,1131.62
107.16,21.18,62.78,6.96,36.29,61.97,49.43,muskmelon,18085.54
103.87,27.06,33.41,6.21,25.02,74.73,246.83,coffee,1359.12
15.57,5.01,37.08,5.77,27.51,78.51,283.78,coconut,12725.34
18.68,2.8,33.01,5.93,30.61,89.32,130.5,coconut,11282.35
100.41,46.24,66.64,6.74,31.91,56.99,61.56,pomegranate,17597.05
57.0,59.6,60.97,6.23,28.18,80.32,218.18,papaya,46293.11
1.38,126.57,207.22,5.61,15.55,69.02,195.65,apple,16998.87
101.18,59.91,67.31,7.06,37.39,41.53,80.74,pomegranate,18406.53
17.6,1.32,48.98,6.6,30.44,78.38,167.86,coconut,11467.38
131.89,51.54,16.01,6.14,27.39,63.84,177.91,cotton,2547.58
119.93,23.5,49.21,5.78,29.7,58.64,69.88,watermelon,30518.37
97.4,48.05,31.84,5.55,18.13,71.29,66.5,maize,6744.5
25.82,73.11,29.94,7.28,31.84,61.74,124.6,pigeonpeas,1359.29
7.63,16.36,18.65,6.65,14.0,83.14,162.58,orange,21100.47
18.1,3.27,38.41,7.44,28.45,90.78,291.86,coconut,11860.07
89.22,75.17,217.15,6.07,33.72,94.77,293.56,banana,36626.36
32.68,44.96,31.68,5.69,13.37,61.17,133.72,grapes,16665.97
115.0,23.04,56.82,5.67,30.94,77.25,55.31,watermelon,32044.58
118.81,19.43,60.77,6.5,34.87,74.63,59.29,muskmelon,16666.37
9.99,0.41,40.86,5.87,34.27,90.39,251.71,coconut,12504.08
26.26,61.52,31.0,4.85,31.06,42.15,37.59,mothbeans,898.29
108.89,35.12,33.32,6.88,22.61,65.2,151.47,coffee,1359.82
127.5,43.02,29.97,6.43,35.73,49.48,136.1,cotton,2693.63
43.7,70.43,33.51,7.36,26.41,62.08,83.2,blackgram,1048.93
1.23,7.52,47.87,6.92,29.42,69.47,292.28,coconut,11506.81
80.74,48.78,52.88,6.42,31.65,91.21,256.76,rice,5109.55
93.02,51.0,60.48,7.16,28.85,53.73,69.06,pomegranate,17123.51
27.54,64.28,34.54,6.46,25.48,54.92,148.9,kidneybeans,1747.21
107.7,49.69,29.35,7.08,39.11,54.07,100.1,cotton,2409.43
101.89,65.25,54.74,6.07,21.22,41.8,109.21,wheat,3699.38
19.6,61.83,28.27,6.5,26.16,66.57,103.44,pigeonpeas,1306.69
114.1,49.05,62.33,5.78,36.25,57.04,126.52,pomegranate,17468.21
11.64,3.19,44.26,6.18,29.53,75.86,122.69,coconut,12193.9
19.63,74.82,18.8,6.78,29.62,41.53,79.27,mungbean,1025.6
34.96,31.18,34.05,5.51,33.58,62.99,124.93,mango,11577.72
35.71,36.78,48.5,5.89,30.54,46.46,101.19,mango,10514.34
26.51,68.28,20.22,6.4,28.01,58.72,89.37,mungbean,1105.5
116.61,49.94,42.69,6.05,21.01,79.04,152.65,rice,4878.26
55.37,67.18,52.03,6.49,26.66,77.61,280.47,papaya,45457.42
27.29,59.43,21.0,6.27,28.28,46.52,87.25,mungbean,1072.91
73.83,64.58,44.52,7.69,35.0,83.03,258.02,jute,3208.11
34.58,59.52,30.73,6.44,31.45,62.81,80.83,blackgram,1031.88
76.33,49.91,54.65,7.51,30.68,72.37,232.76,jute,3383.03
2.72,10.65,5.13,7.17,26.2,82.52,177.24,orange,20216.38
32.49,54.86,36.78,5.54,21.3,77.11,67.47,grapes,16826.68
120.04,59.44,51.36,7.12,15.12,60.01,135.37,wheat,4322.84
27.5,75.77,28.13,5.78,34.53,67.18,151.83,pigeonpeas,1309.39
34.09,62.4,87.51,6.58,21.94,37.64,91.04,chickpea,1293.82
99.95,56.38,37.08,7.07,32.57,69.0,158.45,maize,6587.06
37.65,74.35,84.47,7.43,25.73,42.26,71.68,chickpea,1423.18
43.18,55.51,89.82,6.52,24.97,41.23,41.23,chickpea,1312.93
85.77,75.09,54.04,5.91,30.38,83.76,224.05,banana,32847.04
16.08,52.52,21.8,4.81,25.03,36.84,63.59,mothbeans,899.32
44.31,58.36,70.19,6.87,16.34,28.94,45.66,chickpea,1234.16
104.75,58.53,45.16,6.54,34.81,78.01,163.26,rice,4950.01
32.42,42.24,37.37,6.64,14.63,71.46,175.14,grapes,17897.15
64.0,53.46,58.36,6.43,30.18,71.61,209.85,jute,2910.23
34.09,49.17,48.4,6.79,21.74,66.79,131.27,grapes,16099.97
